"Comparison","Analysis","PAS","Gene","Direction","Apeglm_LFC","Std_p","Std_BH","Strong_p","Strong_BH","Weak_p","Weak_BH","EmpP","HBFSS","HCp","Htau","Std","Strong","Weak","HBFSS_sig","Ovlp","Support"
"RT2_ZT8","RawEVS Lead","42414","Dbp","downregulated",-0.796755760404157,6.92687519577368e-05,0.177882449366976,1,1,0.39243062650385,0.411525508659899,4.68767635819489e-08,5.83945673457085,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Lead","249916","Mt2A","upregulated",0.66208684349685,7.98753701692754e-05,0.177882449366976,1,1,0.132463874047986,0.161997280343143,6.09222068348458e-08,4.77710513040491,0.0122361568998881,1.91235496284797,FALSE,FALSE,TRUE,TRUE,TRUE,"Weak+HBFSS"
"RT2_ZT8","RawEVS Lead","522218","Cryab","upregulated",0.615447553821948,0.00143719322535947,0.999778494783935,1,1,0.273684394495018,0.300935720806652,1.21003063078273e-05,3.02628094929117,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Lead","341454","-","downregulated",-0.912439662662589,0.00194599362623771,0.999778494783935,0.479254590283184,1,0.760372704858408,0.765183015688963,2.10023380486923e-05,4.2681485324767,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Lead","436070","Camk2n1","downregulated",-0.620985188454941,0.00204919741088048,0.999778494783935,1,1,0.355863806107654,0.378082409191578,2.30706660262481e-05,2.87947097757665,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Lead","130629","Hspb8","upregulated",0.606104316806341,0.00349995746991333,0.999778494783935,1,1,0.459341016706405,0.475570638868044,6.09432126714715e-05,2.55477494425036,0.0122361568998881,1.91235496284797,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","20307","-","downregulated",-1.74545608464548,1.12744750992959e-05,0.233640675899222,0.0302585013961561,1,0.984870749301922,0.984981049531433,5.39669953170119e-09,14.4312070726106,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","1473","Adgrg6","upregulated",3.31928425333815,0.000464846669213548,0.999989181155752,0.00810195207227193,1,0.995949023963864,NA,3.30820365390672e-06,18.191031189636,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","242233","Ercc3","upregulated",0.969823844420251,0.000839807846028926,0.999989181155752,0.485935508173359,1,0.757032245913321,0.761466316288123,9.12632107175071e-06,4.88762535672631,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","562896","Chm","upregulated",0.950481091552492,0.00108237726598788,0.999989181155752,0.50112997603245,1,0.749435011983775,0.754164374241054,1.40948234161886e-05,4.61072708911187,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","540818","Scg2","upregulated",0.838929821258946,0.00137115729055972,0.999989181155752,0.695355552818471,1,0.652322223590764,0.661658048235521,2.11259193059199e-05,3.92215159912293,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","55611","Lto1","upregulated",0.638566223677785,0.00153339824471664,0.999989181155752,1,1,0.335448203025891,0.379231858845576,2.55777386610756e-05,2.93238412824279,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","415407","Zcchc17","upregulated",1.03740466068298,0.0026156050152316,0.999989181155752,0.297883320674521,1,0.851058339662739,0.853447610689305,6.36525822721445e-05,4.35314081077466,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","331881","Rasgrp1","upregulated",1.54581970306286,0.0030421120234644,0.999989181155752,0.0913341127502407,1,0.95433294362488,0.954818210398818,8.23426886129575e-05,6.31370728282096,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","324827","Gtdc1","upregulated",0.926026094610419,0.00307803882190701,0.999989181155752,0.377526869191093,1,0.811236565404453,0.814062538382039,8.40062035387668e-05,3.7741940357747,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
"RT2_ZT8","RawEVS Rem","389460","Zfp282","upregulated",2.28403487705047,0.00315150357018878,0.999989181155752,0.0361823930969144,1,0.981908803451543,NA,8.74501417276186e-05,9.26916051708256,0.0170388690247161,1.76855923542764,FALSE,FALSE,FALSE,TRUE,FALSE,"HBFSS"
